word,analysis,sep_form
Керекулни,керекул<n>><add>,керекул-ни
жанавур,жанавур<n><abs>,жанавур
Гатфарин,гатфарин<adj>/гатфар<n>><gen>,гатфарин/гатфари-н
вахт,вахт<n><abs>,вахт
тир,я<cop><pst>/я<cop><ptp>,тир/тир
Таму,там<n>><erg>,там-у
тара,тар<n>><erg>/тар<n>><in><essive>,тар-а/тар-а
пеш,пеш<n><abs>,пеш
ахъайна,,
кьуд,кьуд<num>,кьуд
пад,пад<n><abs>/пад<verb>,пад/пад
къацу,къацу<adj>,къацу
хьанвай,хьа<verb>><prf>><pst>,хьа-нва-й
Тамал,там<n>><super><essive>,тама-л
къушари,къуш<n>><pl><erg>,къуш-ари
ван,ван<n><abs>/ван<verb>,ван/ван
ацалднавай,ацалд<verb>><prf>><pst>,ацалд-нава-й
Гьа,гьа<part>/гьа<prn>,гьа/гьа
и,и<prn>,и
арада,арада<post>/ара<n>><in><essive>,арада/арад-а
фадлай,фадлай<adv>,фадлай
недай,недай<adj>/не<verb>><fut>><pst>/не<verb>><fut>><ptp>,недай/не-да-й/не-да-й
затӀ,затӀ<n><abs>,затӀ
матӀ,матӀ<n><abs>,матӀ
жагъун,,
тавунвай,<neg>>аву<verb>><prf>><ptp>,т-аву-нва-й
рехи,рехи<adj>,рехи
жанавур,жанавур<n><abs>,жанавур
тамун,тамун<adj>/там<n>><gen>,тамун/таму-н
жигъирдай,жигъир<n>><in>><elative>,жигъирд-а-й
тӀуз,тӀуз<post>,тӀуз
вич,вич<prn>,вич
масабуруз,маса<adj>><pl>><dat>,маса-буру-з
такурай,,
лугьуз,лугьуз<conj>/лугьуз<part>/лугьу<verb>><inf>,лугьуз/лугьуз/лугьу-з
яваш,яваш<adj>/яваш<adv>/яваш<intj>,яваш/яваш/яваш
яваш,яваш<adj>/яваш<adv>/яваш<intj>,яваш/яваш/яваш
инихъ,инихъ<adv>,инихъ
анихъ,анихъ<adv>/анихъ<verb>,анихъ/анихъ
килигиз,килиг<verb>><inf>,килиг-из
виликди,виликди<adv>/вилик<adj>><sg><abs>/вилик<verb>><afut>/вил<n>><sub>><directive>,виликди/вилик-ди/вилик-ди/вили-к-ди
физвай,фи<verb>><imperf>><pst>/фи<verb>><imperf>><ptp>,фи-зва-й/фи-зва-й
Заз,зун<prn>><dat>,за-з
акуна,акун<n>><in><essive>/аку<verb>><aoc>/аку<verb>><aor>,акун-а/аку-на/аку-на
заз,зун<prn>><dat>,за-з
акуна,акун<n>><in><essive>/аку<verb>><aoc>/аку<verb>><aor>,акун-а/аку-на/аку-на
гьарайна,гьарай<verb>><aoc>/гьарай<verb>><aor>,гьарай-на/гьарай-на
пипин,пипин<adj>,пипин
тарцин,тар<n>><gen>,тарци-н
кӀукӀни,кӀукӀ<n>><add>,кӀукӀ-ни
кукӀва,кукӀва<n><abs>,кукӀва
ацукьнавай,ацукь<verb>><prf>><pst>,ацукь-нава-й
керекулди,керекул<n>><erg>,керекул-ди
И,и<prn>,и
керекул,керекул<n><abs>,керекул
акьван,акьван<adv>/акьван<n><abs>/акьван<part>,акьван/акьван/акьван
гьахълуди,гьахълу<adj>><sg><abs>,гьахълу-ди
тир,я<cop><pst>/я<cop><ptp>,тир/тир
хьи,хьи<conj>/хьи<part>,хьи/хьи
адакай,а<prn><sg>><sub>><elative>,ада-к-ай
чуьлдин,чуьлдин<adj>/чуьл<n>><gen>,чуьлдин/чуьлди-н
тамун,тамун<adj>/там<n>><gen>,тамун/таму-н
гзаф,гзаф<adv>,гзаф
гьайванриз,гьайван<n>><pl>><dat>,гьайван-ри-з
куьмек,куьмек<n><abs>,куьмек
хьанвай,хьа<verb>><prf>><pst>,хьа-нва-й
Кис,кис<intj>/кис<verb>/кис<verb><imper>,кис/кис/кис
мердимазар,мердимазар<adj>/мердимазар<n><abs>,мердимазар/мердимазар
ваз,вун<prn>><dat>,ва-з
аквазвачни,аква<verb>><imperf>><neg>><inter>,аква-зва-ч-ни
зал,зал<n><abs>/зун<prn>><super><essive>,зал/за-л
алай,ала<cop>><pst>,ала-й
гьал,гьал<n><abs>/гьал<verb>/гьал<verb><imper>,гьал/гьал/гьал
Зи,зун<prn><gen>,зи
яцӀу,яцӀу<adj>,яцӀу
ратари,,
шуькӀуь,шуькӀуь<adj>,шуькӀуь
ратар,,
незва,не<verb>><imperf>,не-зва
зун,зун<prn>,зун
фидайла,фидайла<adv>/фи<verb>><fut>><ptp>><temp>,фидайла/фи-да-й-ла
гагь,гагь<adv>,гагь
и,и<prn>,и
пата,пад<n>><erg>/пад<n>><in><essive>,пат-а/пат-а
гагь,гагь<adv>,гагь
а,а<prn>,а
пата,пад<n>><erg>/пад<n>><in><essive>,пат-а/пат-а
акьазва,акьа<verb>><imperf>,акьа-зва
лагьана,лагьана<conj>/лагьа<verb>><aoc>/лагьа<verb>><aor>,лагьана/лагьа-на/лагьа-на
жанавурди,жанавур<n>><erg>,жанавур-ди
За,зун<prn><erg>/зун<prn>><in><essive>,за/з-а
ваз,вун<prn>><dat>,ва-з
кис,кис<intj>/кис<verb>/кис<verb><imper>,кис/кис/кис
лугьузвачни,лугьу<verb>><imperf>><neg>><inter>,лугьу-зва-ч-ни
лагълагьчи,,
Кис,кис<intj>/кис<verb>/кис<verb><imper>,кис/кис/кис
тавуртӀа,<neg>>аву<verb>><aor><ptp>><cnd>,т-аву-р-тӀа
вавай,вун<prn>><ad>><elative>,ва-в-ай
заз,зун<prn>><dat>,за-з
вуч,вуч<prn>,вуч
жеда,же<verb>><fut>,же-да
Зун,зун<prn>,зун
вун,вун<prn>,вун
хьтин,хьтин<part>,хьтин
тарашчи,тарашчи<n><abs>,тарашчи
туш,я<cop><neg>,туш
Ша,ша<part>/ша<verb><imper>,ша/ша
чун,чун<prn>,чун
дуст,дуст<adj>/дуст<n><abs>,дуст/дуст
жен,же<verb>><hort>,же-н
керекул,керекул<n><abs>,керекул
Завай,зун<prn>><ad>><elative>,за-в-ай
гишила,гишила<adv>,гишила
мад,мад<adv>/мад<part>,мад/мад
къекъвез,къекъве<verb>><inf>,къекъве-з
жезмач,же<verb>><imperf.cont>><neg>,же-зма-ч
Зун,зун<prn>,зун
инал,инал<adv>,инал
акъвазин,акъваз<verb>><hort>,акъваз-ин
вуна,вун<prn><erg>,вуна
фена,фе<verb>><aoc>/фе<verb>><aor>,фе-на/фе-на
хуьруьн,хуьруьн<adj>/хуьр<n>><gen>,хуьруьн/хуьруь-н
уьруьшрилай,,
цӀар,цӀар<n><abs>,цӀар
илитӀа,,
Гьинал,,
кас,кас<n><abs>,кас
галачиз,гала<cop>><neg>><cvb>,гала-ч-из
тек,тек<adj>/тек<adv>,тек/тек
мал,мал<n><abs>,мал
тек,тек<adj>/тек<adv>,тек/тек
хеб,,
алатӀа,ала<cop>><cnd>,ала-тӀа
заз,зун<prn>><dat>,за-з
хабар,хабар<n><abs>/хабар<verb>,хабар/хабар
це,це<intj>/це<verb><imper>,це/це
Ви,вун<prn><gen>,ви
пайни,пай<n>><add>,пай-ни
за,зун<prn><erg>/зун<prn>><in><essive>,за/з-а
рикӀелай,рикӀ<n>><in><essive>><be.on>><pst>/рикӀ<n>><in><essive>><be.on>><ptp>/рикӀ<n>><super>><elative>,рикӀе-ла-й/рикӀе-ла-й/рикӀе-л-ай
алуддач,алуд<verb>><fut>><neg>,алуд-да-ч
рикӀяй,рикӀяй<adv>,рикӀяй
фикирна,фикир<verb>><aoc>/фикир<verb>><aor>,фикир-на/фикир-на
керекулди,керекул<n>><erg>,керекул-ди
Амма,амма<conj>,амма
жанавурдиз,жанавур<n>><dat>,жанавурди-з
ада,а<prn><sg><erg>/а<prn><sg>><in><essive>,ада/ад-а
вич,вич<prn>,вич
и,и<prn>,и
икьрардал,икьрар<n>><super><essive>,икьрарда-л
рази,рази<adj>,рази
тирди,тир<adj>><sg><abs>/тир<n>><erg>,тир-ди/тир-ди
